psa_set_name,psa_years,psa_count,ppt_set_id,ppt_set_name,ppt_release_year,confidence,alt_2_name,alt_2_score,alt_3_name,alt_3_score,notes
Base Set,1999,22,696e3c9cbb2a772e0d056815,Base Set,1999,high,Base Set 2,2.00,Base Set (Shadowless),2.00,
Prismatic Evolutions,2025,13,696e3ca8bb2a772e0d0568db,SV: Prismatic Evolutions,2025,high,XY - Evolutions,0.43,,,
Scarlet & Violet 151,2023,9,696e3ca7bb2a772e0d0568cd,SV: Scarlet & Violet 151,2023,medium,SV: Scarlet & Violet Promo Cards,2.50,SV01: Scarlet & Violet Base Set,2.40,
Jungle,1999,8,696e3c9dbb2a772e0d05681a,Jungle,1999,high,,,,,
Fossil,1999,8,696e3c9dbb2a772e0d056819,Fossil,1999,high,,,,,
Neo Destiny,2002,7,696e3ca1bb2a772e0d05685f,Neo Destiny,2002,high,Neo Revelation,0.83,Neo Discovery,0.83,
Evolving Skies,2021,6,696e3ca6bb2a772e0d0568b4,SWSH07: Evolving Skies,2021,high,XY - Roaring Skies,0.35,,,
Team Rocket,2000,6,696e3c9dbb2a772e0d056821,Team Rocket,2000,high,Team Rocket Returns,1.67,Ash vs Team Rocket Deck Kit (JP Exclusive),0.85,
Skyridge,2003,6,696e3c9dbb2a772e0d056820,Skyridge,2003,high,,,,,
Neo Genesis,2000,5,696e3c9ebb2a772e0d056837,Neo Genesis,2000,high,Neo Revelation,0.83,Neo Discovery,0.83,
SWSH Black Star Promo,2020|2022,4,696e3ca7bb2a772e0d0568c5,SWSH: Crown Zenith,2023,medium,SWSH: Sword & Shield Promo Cards,1.20,SWSH: Crown Zenith: Galarian Gallery,1.14,
Aquapolis,2003,4,696e3c9ebb2a772e0d056838,Aquapolis,2003,high,,,,,
EX Power Keepers,2007,4,696e3c9ebb2a772e0d05682b,Power Keepers,2007,high,EX Battle Stadium,0.20,EX Trainer Kit 2: Plusle & Minun,0.14,
Brilliant Stars,2022,4,696e3ca6bb2a772e0d0568b8,SWSH09: Brilliant Stars,2022,medium,SWSH09: Brilliant Stars Trainer Gallery,2.40,,,
Obsidian Flames,2023,3,696e3ca7bb2a772e0d0568cc,SV03: Obsidian Flames,2023,high,ME02: Phantasmal Flames,0.75,,,
Mega Evolution,2025,3,696e3ca9bb2a772e0d0568e1,ME01: Mega Evolution,2025,medium,ME: Mega Evolution Promo,2.67,MEE: Mega Evolution Energies,2.50,
Neo Revelation,2001,3,696e3c9ebb2a772e0d056830,Neo Revelation,2001,high,Neo Discovery,1.33,Neo Destiny,0.83,
EX Deoxys,2005,3,696e3c9fbb2a772e0d05683f,Deoxys,2005,high,EX Battle Stadium,0.75,EX Trainer Kit 2: Plusle & Minun,0.17,
EX Holon Phantoms,2006,3,696e3c9dbb2a772e0d056827,Holon Phantoms,2006,high,EX Battle Stadium,0.20,EX Trainer Kit 2: Plusle & Minun,0.14,
EX Team Rocket Returns,2004,3,696e3ca0bb2a772e0d056855,Team Rocket Returns,2004,high,Team Magma vs Team Aqua,1.64,Team Rocket,1.50,
Trophy,1999,3,,,,none,,,,,
Fusion Strike,2021,3,696e3ca6bb2a772e0d0568b6,SWSH08: Fusion Strike,2021,high,,,,,
XY Promo,2014|2015,3,696e3ca2bb2a772e0d05687a,XY - BREAKthrough,2015,medium,XY - Flashfire,1.50,XY Base Set,1.50,
Neo Discovery,2001,2,696e3ca0bb2a772e0d05685a,Neo Discovery,2001,high,Neo Revelation,1.33,Neo Destiny,0.83,
EX Dragon Frontiers,2006,2,696e3c9fbb2a772e0d056846,Dragon Frontiers,2006,high,Dragon,0.83,Dragon Majesty,0.35,
POP Series 5,2007,2,696e3c9fbb2a772e0d056849,POP Series 7,,medium,POP Series 1,1.50,POP Series 6,1.50,
EX Unseen Forces,2005,2,696e3c9ebb2a772e0d056839,Unseen Forces,2005,high,EX Battle Stadium,0.70,SV05: Temporal Forces,0.30,
World Championships Promo,2004|2010,2,696e3ca4bb2a772e0d056893,Pikachu World Collection Promos,,low,World Championship Decks,0.35,,,
Play! Pokemon Promo,2006,2,,,,none,,,,,
Lost Origin,2022,2,696e3ca7bb2a772e0d0568bf,SWSH11: Lost Origin,2022,medium,SWSH11: Lost Origin Trainer Gallery,2.40,SM - Lost Thunder,0.75,
Shining Fates,2021,2,696e3ca5bb2a772e0d0568ae,Shining Fates,2021,high,Shining Fates: Shiny Vault,2.50,Hidden Fates,0.83,
Champion's Path,2020,2,696e3ca5bb2a772e0d0568ab,Champion's Path,2020,high,,,,,
Surging Sparks,2024,2,696e3ca8bb2a772e0d0568da,SV08: Surging Sparks,2024,high,,,,,
Journey Together,2025,2,696e3ca8bb2a772e0d0568dc,SV09: Journey Together,2025,high,,,,,
Hidden Fates,2019,2,696e3ca5bb2a772e0d0568a3,Hidden Fates,2019,high,Hidden Fates: Shiny Vault,2.50,Shining Fates,0.83,
Burning Shadows,2017,2,696e3ca3bb2a772e0d05688b,SM - Burning Shadows,2017,high,,,,,
Cosmic Eclipse,2019,2,696e3ca5bb2a772e0d0568a4,SM - Cosmic Eclipse,2019,high,,,,,
XY Black Star Promo,2016,2,696e3ca3bb2a772e0d056885,XY - Evolutions,2016,medium,XY - BREAKpoint,1.25,XY - Steam Siege,1.20,
Japanese Base Set,1996,2,696e3c9cbb2a772e0d056816,Base Set 2,2000,medium,Base Set,1.00,Base Set (Shadowless),0.83,
Paldean Fates,2024,2,696e3ca8bb2a772e0d0568d3,SV: Paldean Fates,2024,high,Shining Fates,0.83,Hidden Fates,0.83,
M-P Promo,2025,1,,,,none,,,,,
SV-P Promo,2022,1,696e3ca7bb2a772e0d0568c7,SV: Scarlet & Violet Promo Cards,2023,medium,SV: Scarlet & Violet 151,0.75,SV: Black Bolt,0.33,
Terastal Festival ex,2024,1,696e3ca2bb2a772e0d056877,EX Trainer Kit 2: Plusle & Minun,,none,EX Trainer Kit 1: Latias & Latios,0.14,,,
Pokemon the Movie 2000 Promo,2000,1,,,,none,,,,,
Prismatic Evolutions ETB Promo,2025,1,696e3ca8bb2a772e0d0568db,SV: Prismatic Evolutions,2025,high,XY - Evolutions,0.35,,,
Hidden Fates ETB Promo,2019,1,696e3ca5bb2a772e0d0568a3,Hidden Fates,2019,medium,Hidden Fates: Shiny Vault,2.40,Shining Fates,0.75,
Battle Partners Box Purchase Campaign,2025,1,696e3ca8bb2a772e0d0568d6,Battle Academy 2024,2024,medium,Battle Academy,0.67,My First Battle,0.64,
Triplet Beat,2023,1,,,,none,,,,,
Celebrations,2021,1,696e3ca6bb2a772e0d0568b5,Celebrations,2021,high,Celebrations: Classic Collection,1.83,,,
Crown Zenith,2023,1,696e3ca7bb2a772e0d0568c5,SWSH: Crown Zenith,2023,medium,SWSH: Crown Zenith: Galarian Gallery,2.40,SV07: Stellar Crown,1.25,
XY Evolutions,2016,1,696e3ca3bb2a772e0d056885,XY - Evolutions,2016,high,XY - BREAKpoint,1.33,XY - Steam Siege,1.25,
SVP Black Star Promo (Van Gogh Museum),2023,1,69f562ee6222edcca357f0fc,ME05: Pitch Black,2026,low,SV: Black Bolt,0.63,Black and White,0.24,
CoroCoro Comic Promo,1998,1,,,,none,,,,,
Pokemon Snap Promo,1999,1,,,,none,,,,,
EX Crystal Guardians,2006,1,696e3c9ebb2a772e0d056836,Crystal Guardians,2006,high,SM - Guardians Rising,0.30,EX Battle Stadium,0.20,
Next Destinies,2012,1,696e3c9fbb2a772e0d056847,Next Destinies,2012,high,,,,,
Dragons Exalted,2012,1,696e3c9ebb2a772e0d056835,Dragons Exalted,2012,high,,,,,
Silver Tempest,2022,1,696e3ca7bb2a772e0d0568c1,SWSH12: Silver Tempest,2022,medium,SWSH12: Silver Tempest Trainer Gallery,2.40,,,
Vivid Voltage,2020,1,696e3ca5bb2a772e0d0568ad,SWSH04: Vivid Voltage,2020,high,,,,,
Phantasmal Flames,2025,1,696e3ca9bb2a772e0d0568e3,ME02: Phantasmal Flames,2025,high,SV03: Obsidian Flames,0.75,,,
Paldea Evolved,2023,1,696e3ca7bb2a772e0d0568cb,SV02: Paldea Evolved,2023,high,,,,,
Destined Rivals,2025,1,696e3ca8bb2a772e0d0568de,SV10: Destined Rivals,2025,high,Rising Rivals,0.43,,,
Black Bolt / White Flare,2025,1,696e3ca8bb2a772e0d0568df,SV: Black Bolt,2025,medium,SV: White Flare,2.40,ME05: Pitch Black,1.17,
Unified Minds,2019,1,696e3ca5bb2a772e0d0568a2,SM - Unified Minds,2019,high,,,,,
Team Up,2019,1,696e3ca5bb2a772e0d05689f,SM - Team Up,2019,high,Ash vs Team Rocket Deck Kit (JP Exclusive),0.61,Team Rocket,0.43,
Generations,2016,1,696e3ca3bb2a772e0d05687f,Generations,2016,high,Generations: Radiant Collection,1.83,,,
Bandai Carddass,1996,1,,,,none,,,,,
Topps Chrome Series 1,2000,1,696e3c9fbb2a772e0d056849,POP Series 7,,low,POP Series 1,0.75,POP Series 6,0.75,
VS Series,2001,1,696e3c9fbb2a772e0d056849,POP Series 7,,medium,POP Series 1,0.83,POP Series 6,0.83,
Southern Islands,2001,1,696e3c9dbb2a772e0d05681b,Southern Islands,2001,high,,,,,
Twilight Masquerade,2024,1,696e3ca8bb2a772e0d0568d5,SV06: Twilight Masquerade,2024,high,,,,,
Stellar Crown,2024,1,696e3ca8bb2a772e0d0568d8,SV07: Stellar Crown,2024,high,SWSH: Crown Zenith,1.25,SWSH: Crown Zenith: Galarian Gallery,1.17,
Ultra Prism,2018,1,696e3ca4bb2a772e0d056892,SM - Ultra Prism,2018,high,,,,,
POKEMON GO,2022,1,696e3ca6bb2a772e0d0568bc,Pokemon GO,2022,high,,,,,
POKEMON PFL EN-PHANTASMAL FLAMES,2025,1,696e3ca9bb2a772e0d0568e3,ME02: Phantasmal Flames,2025,high,SV03: Obsidian Flames,0.67,,,
POKEMON JAPANESE EXPANSION 20TH ANNIVERSARY,2016,1,696e3ca6bb2a772e0d0568b2,McDonald's 25th Anniversary Promos,2021,low,,,,,
POKEMON SUN & MOON GUARDIANS RISING,2017,1,696e3ca3bb2a772e0d056889,SM - Guardians Rising,2017,high,Rising Rivals,0.30,Crystal Guardians,0.30,
Champion's Path ETB Promo,2020,1,696e3ca5bb2a772e0d0568ab,Champion's Path,2020,high,,,,,
